00466d00 ENDBR64
00466d04 PUSH R12
00466d06 XOR R12D,R12D
00466d09 PUSH RBP
00466d0a PUSH RBX
00466d0b MOV RBX,RDI
00466d0e CALL 0x004394e0
00466d13 TEST EAX,EAX
00466d15 JZ 0x00466d43
00466d17 LEA RBP,[0x7da140]
00466d1e MOV EDX,0x49
00466d23 MOV EDI,0x50
00466d28 MOV RSI,RBP
00466d2b CALL 0x004198d0
00466d30 MOV R12,RAX
00466d33 TEST RAX,RAX
00466d36 JZ 0x00466d50
00466d38 MOV qword ptr [RAX],RBX
00466d3b MOV RDI,RAX
00466d3e CALL 0x004669a0
00466d43 MOV RAX,R12
00466d46 POP RBX
00466d47 POP RBP
00466d48 POP R12
00466d4a RET
00466d50 CALL 0x00511480
00466d55 MOV RDI,RBP
00466d58 MOV ESI,0x4b
00466d5d LEA RDX,[0x7da170]
00466d64 CALL 0x005115a0
00466d69 XOR EDX,EDX
00466d6b MOV ESI,0xc0100
00466d70 XOR EAX,EAX
00466d72 MOV EDI,0x39
00466d77 CALL 0x00511950
00466d7c JMP 0x00466d43
