0055bf80 ENDBR64
0055bf84 PUSH R12
0055bf86 CMP R8D,0xa
0055bf8a JLE 0x0055c0a1
0055bf90 MOV R9D,ESI
0055bf93 CMP R8D,ECX
0055bf96 JZ 0x0055c010
0055bf98 LEA EAX,[RCX + 0x1]
0055bf9b CMP EAX,R8D
0055bf9e JNZ 0x0055c066
0055bfa4 CMP byte ptr [RDX],0x1
0055bfa7 LEA RSI,[RDX + 0x1]
0055bfab JNZ 0x0055c066
0055bfb1 SUB ECX,0x1
0055bfb4 TEST ECX,ECX
0055bfb6 JLE 0x0055c028
0055bfb8 XOR EAX,EAX
0055bfba JMP 0x0055bfcf
0055bfc0 ADD EAX,0x1
0055bfc3 ADD RSI,0x1
0055bfc7 CMP ECX,EAX
0055bfc9 JZ 0x0055c0f0
0055bfcf MOVZX EDX,byte ptr [RSI]
0055bfd2 CMP DL,0xff
0055bfd5 JZ 0x0055bfc0
0055bfd7 TEST DL,DL
0055bfd9 JNZ 0x0055c12b
0055bfdf ADD RSI,0x1
0055bfe3 CMP EAX,ECX
0055bfe5 JZ 0x0055c0f0
0055bfeb CMP EAX,0x7
0055bfee JLE 0x0055c02e
0055bff0 ADD EAX,0x1
0055bff3 SUB ECX,EAX
0055bff5 MOV R12D,ECX
0055bff8 CMP ECX,R9D
0055bffb JG 0x0055c0ac
0055c001 MOV EDX,ECX
0055c003 CALL 0x00401030
0055c008 MOV EAX,R12D
0055c00b POP R12
0055c00d RET
0055c010 CMP byte ptr [RDX],0x0
0055c013 LEA RAX,[RDX + 0x1]
0055c017 JNZ 0x0055c166
0055c01d SUB ECX,0x1
0055c020 MOV RDX,RAX
0055c023 JMP 0x0055bfa4
0055c028 JZ 0x0055c0f0
0055c02e CALL 0x00511480
0055c033 MOV ESI,0x6f
0055c038 LEA RDX,[0x7fdb90]
0055c03f LEA RDI,[0x7fda99]
0055c046 CALL 0x005115a0
0055c04b XOR EDX,EDX
0055c04d MOV ESI,0x67
0055c052 XOR EAX,EAX
0055c054 MOV EDI,0x4
0055c059 MOV R12D,0xffffffff
0055c05f CALL 0x00511950
0055c064 JMP 0x0055c008
0055c066 CALL 0x00511480
0055c06b MOV ESI,0x56
0055c070 LEA RDX,[0x7fdb90]
0055c077 LEA RDI,[0x7fda99]
0055c07e CALL 0x005115a0
0055c083 XOR EDX,EDX
0055c085 MOV ESI,0x6a
0055c08a XOR EAX,EAX
0055c08c MOV EDI,0x4
0055c091 MOV R12D,0xffffffff
0055c097 CALL 0x00511950
0055c09c JMP 0x0055c008
0055c0a1 MOV R12D,0xffffffff
0055c0a7 JMP 0x0055c008
0055c0ac CALL 0x00511480
0055c0b1 MOV ESI,0x75
0055c0b6 LEA RDX,[0x7fdb90]
0055c0bd LEA RDI,[0x7fda99]
0055c0c4 CALL 0x005115a0
0055c0c9 XOR EDX,EDX
0055c0cb MOV ESI,0x6d
0055c0d0 XOR EAX,EAX
0055c0d2 MOV EDI,0x4
0055c0d7 MOV R12D,0xffffffff
0055c0dd CALL 0x00511950
0055c0e2 JMP 0x0055c008
0055c0f0 CALL 0x00511480
0055c0f5 MOV ESI,0x6a
0055c0fa LEA RDX,[0x7fdb90]
0055c101 LEA RDI,[0x7fda99]
0055c108 CALL 0x005115a0
0055c10d XOR EDX,EDX
0055c10f MOV ESI,0x71
0055c114 XOR EAX,EAX
0055c116 MOV EDI,0x4
0055c11b MOV R12D,0xffffffff
0055c121 CALL 0x00511950
0055c126 JMP 0x0055c008
0055c12b CALL 0x00511480
0055c130 MOV ESI,0x62
0055c135 LEA RDX,[0x7fdb90]
0055c13c LEA RDI,[0x7fda99]
0055c143 CALL 0x005115a0
0055c148 XOR EDX,EDX
0055c14a MOV ESI,0x66
0055c14f XOR EAX,EAX
0055c151 MOV EDI,0x4
0055c156 MOV R12D,0xffffffff
0055c15c CALL 0x00511950
0055c161 JMP 0x0055c008
0055c166 CALL 0x00511480
0055c16b MOV ESI,0x4f
0055c170 LEA RDX,[0x7fdb90]
0055c177 LEA RDI,[0x7fda99]
0055c17e CALL 0x005115a0
0055c183 XOR EDX,EDX
0055c185 MOV ESI,0x8a
0055c18a XOR EAX,EAX
0055c18c MOV EDI,0x4
0055c191 MOV R12D,0xffffffff
0055c197 CALL 0x00511950
0055c19c JMP 0x0055c008
