004ce590 ENDBR64
004ce594 PUSH R12
004ce596 TEST RDI,RDI
004ce599 JZ 0x004ce5c0
004ce59b TEST RSI,RSI
004ce59e JZ 0x004ce5c0
004ce5a0 MOV RAX,qword ptr [RDI]
004ce5a3 MOV R12,qword ptr [RAX + 0x18]
004ce5a7 TEST R12,R12
004ce5aa JZ 0x004ce5f8
004ce5ac CALL R12
004ce5af MOV R12,RAX
004ce5b2 TEST RAX,RAX
004ce5b5 JZ 0x004ce630
004ce5b7 MOV RAX,R12
004ce5ba POP R12
004ce5bc RET
004ce5c0 CALL 0x00511480
004ce5c5 LEA RDX,[0x7e0c38]
004ce5cc MOV ESI,0xa8
004ce5d1 XOR R12D,R12D
004ce5d4 LEA RDI,[0x7e0b6c]
004ce5db CALL 0x005115a0
004ce5e0 XOR EDX,EDX
004ce5e2 MOV ESI,0xc0102
004ce5e7 XOR EAX,EAX
004ce5e9 MOV EDI,0x25
004ce5ee CALL 0x00511950
004ce5f3 JMP 0x004ce5b7
004ce5f8 CALL 0x00511480
004ce5fd LEA RDX,[0x7e0c38]
004ce604 MOV ESI,0xac
004ce609 LEA RDI,[0x7e0b6c]
004ce610 CALL 0x005115a0
004ce615 XOR EDX,EDX
004ce617 MOV ESI,0x6c
004ce61c XOR EAX,EAX
004ce61e MOV EDI,0x25
004ce623 CALL 0x00511950
004ce628 JMP 0x004ce5b7
004ce630 CALL 0x00511480
004ce635 LEA RDX,[0x7e0c38]
004ce63c MOV ESI,0xb0
004ce641 LEA RDI,[0x7e0b6c]
004ce648 CALL 0x005115a0
004ce64d XOR EDX,EDX
004ce64f MOV ESI,0x6a
004ce654 XOR EAX,EAX
004ce656 MOV EDI,0x25
004ce65b CALL 0x00511950
004ce660 JMP 0x004ce5b7
