00461aa0 ENDBR64
00461aa4 PUSH R13
00461aa6 PUSH R12
00461aa8 PUSH RBP
00461aa9 TEST RCX,RCX
00461aac JZ 0x00461af0
00461aae CALL 0x00511480
00461ab3 LEA RDX,[0x7d9c70]
00461aba MOV ESI,0x369
00461abf XOR R12D,R12D
00461ac2 LEA RDI,[0x7d9aa0]
00461ac9 CALL 0x005115a0
00461ace XOR EDX,EDX
00461ad0 MOV ESI,0x80106
00461ad5 XOR EAX,EAX
00461ad7 MOV EDI,0x39
00461adc CALL 0x00511950
00461ae1 MOV EAX,R12D
00461ae4 POP RBP
00461ae5 POP R12
00461ae7 POP R13
00461ae9 RET
00461af0 MOV RBP,RDX
00461af3 MOV R12D,R8D
00461af6 CALL 0x00439bf0
00461afb MOV R13,RAX
00461afe TEST RAX,RAX
00461b01 JZ 0x00461b28
00461b03 MOV EDX,R12D
00461b06 MOV RSI,RBP
00461b09 MOV RDI,RAX
00461b0c CALL 0x00461320
00461b11 MOV RDI,R13
00461b14 MOV R12D,EAX
00461b17 CALL 0x004a84e0
00461b1c MOV EAX,R12D
00461b1f POP RBP
00461b20 POP R12
00461b22 POP R13
00461b24 RET
00461b28 XOR R12D,R12D
00461b2b JMP 0x00461ae1
