0043c150 ENDBR64
0043c154 PUSH R13
0043c156 MOV R13,RDI
0043c159 PUSH R12
0043c15b PUSH RBP
0043c15c MOV RBP,RSI
0043c15f LEA RSI,[0x7d6d88]
0043c166 MOV RDI,RBP
0043c169 CALL 0x0041b7e0
0043c16e TEST RAX,RAX
0043c171 JZ 0x0043c193
0043c173 MOV EDI,dword ptr [R13 + 0x38]
0043c177 MOV R12,RAX
0043c17a CALL 0x004498f0
0043c17f MOV RSI,RAX
0043c182 TEST RAX,RAX
0043c185 JZ 0x0043c1a8
0043c187 MOV RDI,R12
0043c18a CALL 0x0041cbb0
0043c18f TEST EAX,EAX
0043c191 JZ 0x0043c1a8
0043c193 MOV RSI,RBP
0043c196 MOV RDI,R13
0043c199 POP RBP
0043c19a POP R12
0043c19c POP R13
0043c19e JMP 0x00483e20
0043c1a8 CALL 0x00511480
0043c1ad LEA RDX,[0x7d6da0]
0043c1b4 MOV ESI,0x38
0043c1b9 LEA RDI,[0x7d6d50]
0043c1c0 CALL 0x005115a0
0043c1c5 XOR EAX,EAX
0043c1c7 XOR EDX,EDX
0043c1c9 MOV ESI,0x68
0043c1ce MOV EDI,0x39
0043c1d3 CALL 0x00511950
0043c1d8 POP RBP
0043c1d9 XOR EAX,EAX
0043c1db POP R12
0043c1dd POP R13
0043c1df RET
