00444f70 ENDBR64
00444f74 PUSH R12
00444f76 MOV EDX,0x72
00444f7b MOV EDI,0x2d8
00444f80 LEA RSI,[0x7d7258]
00444f87 CALL 0x004198d0
00444f8c MOV R12,RAX
00444f8f TEST RAX,RAX
00444f92 JZ 0x00444fc6
00444f94 MOV EDI,0x200
00444f99 CALL 0x00445300
00444f9e PUSH 0x0
00444fa0 MOV EDX,0x8
00444fa5 MOV RDI,R12
00444fa8 PUSH RAX
00444fa9 MOV R9D,0x2
00444faf MOV R8D,0x10001
00444fb5 MOV ECX,0x80
00444fba MOV ESI,0x200
00444fbf CALL 0x00484610
00444fc4 POP RAX
00444fc5 POP RDX
00444fc6 MOV RAX,R12
00444fc9 POP R12
00444fcb RET
