00506740 MOV RBP,0x7ffffffffffff
0050674a MOV RDX,R10
0050674d SHR R10,0x33
00506751 SHL R11,0xd
00506755 AND RDX,RBP
00506758 OR R11,R10
0050675b ADD R12,R11
0050675e ADC R13,0x0
00506762 MOV RAX,RBX
00506765 SHR RBX,0x33
00506769 SHL RCX,0xd
0050676d AND RAX,RBP
00506770 OR RCX,RBX
00506773 ADD R8,RCX
00506776 ADC R9,0x0
0050677a MOV RBX,R12
0050677d SHR R12,0x33
00506781 SHL R13,0xd
00506785 AND RBX,RBP
00506788 OR R13,R12
0050678b ADD R14,R13
0050678e ADC R15,0x0
00506792 MOV RCX,R8
00506795 SHR R8,0x33
00506799 SHL R9,0xd
0050679d AND RCX,RBP
005067a0 OR R9,R8
005067a3 ADD RDX,R9
005067a6 MOV R10,R14
005067a9 SHR R14,0x33
005067ad SHL R15,0xd
005067b1 AND R10,RBP
005067b4 OR R15,R14
005067b7 LEA R14,[R15 + R15*0x8]
005067bb LEA R15,[R15 + R14*0x2]
005067bf ADD RAX,R15
005067c2 MOV R8,RDX
005067c5 AND RDX,RBP
005067c8 SHR R8,0x33
005067cc ADD RBX,R8
005067cf MOV R9,RAX
005067d2 AND RAX,RBP
005067d5 SHR R9,0x33
005067d9 ADD RCX,R9
005067dc MOV qword ptr [RDI],RAX
005067df MOV qword ptr [RDI + 0x8],RCX
005067e3 MOV qword ptr [RDI + 0x10],RDX
005067e7 MOV qword ptr [RDI + 0x18],RBX
005067eb MOV qword ptr [RDI + 0x20],R10
005067ef MOV R15,qword ptr [RSP + 0x28]
005067f4 MOV R14,qword ptr [RSP + 0x30]
005067f9 MOV R13,qword ptr [RSP + 0x38]
005067fe MOV R12,qword ptr [RSP + 0x40]
00506803 MOV RBX,qword ptr [RSP + 0x48]
00506808 MOV RBP,qword ptr [RSP + 0x50]
0050680d LEA RSP,[RSP + 0x58]
00506812 RET
