005c1a10 ENDBR64
005c1a14 PUSH R13
005c1a16 PUSH R12
005c1a18 PUSH RBX
005c1a19 TEST RDI,RDI
005c1a1c JZ 0x005c1a80
005c1a1e MOV R12,RSI
005c1a21 TEST RSI,RSI
005c1a24 JZ 0x005c1a80
005c1a26 MOV RBX,RDI
005c1a29 MOV RDI,qword ptr [RDI + 0x8]
005c1a2d CALL 0x00434cf0
005c1a32 TEST EAX,EAX
005c1a34 JLE 0x005c1ac0
005c1a3a MOV RDI,qword ptr [RBX + 0x8]
005c1a3e CALL 0x00434cf0
005c1a43 MOV RDI,qword ptr [RBX + 0x8]
005c1a47 LEA ESI,[RAX + -0x1]
005c1a4a CALL 0x00434d10
005c1a4f MOV RDI,RAX
005c1a52 TEST RAX,RAX
005c1a55 JZ 0x005c1b00
005c1a5b MOV RSI,R12
005c1a5e CALL 0x006ff9c0
005c1a63 MOV R13,RAX
005c1a66 TEST RAX,RAX
005c1a69 JZ 0x005c1b40
005c1a6f MOV RAX,R13
005c1a72 POP RBX
005c1a73 POP R12
005c1a75 POP R13
005c1a77 RET
005c1a80 CALL 0x00511480
005c1a85 LEA RDX,[0x80ed20]
005c1a8c MOV ESI,0xae
005c1a91 XOR R13D,R13D
005c1a94 LEA RDI,[0x80ecbb]
005c1a9b CALL 0x005115a0
005c1aa0 XOR EAX,EAX
005c1aa2 XOR EDX,EDX
005c1aa4 MOV ESI,0xc0102
005c1aa9 MOV EDI,0x25
005c1aae CALL 0x00511950
005c1ab3 MOV RAX,R13
005c1ab6 POP RBX
005c1ab7 POP R12
005c1ab9 POP R13
005c1abb RET
005c1ac0 CALL 0x00511480
005c1ac5 LEA RDX,[0x80ed20]
005c1acc MOV ESI,0xb2
005c1ad1 XOR R13D,R13D
005c1ad4 LEA RDI,[0x80ecbb]
005c1adb CALL 0x005115a0
005c1ae0 XOR EAX,EAX
005c1ae2 XOR EDX,EDX
005c1ae4 MOV ESI,0x69
005c1ae9 MOV EDI,0x25
005c1aee CALL 0x00511950
005c1af3 MOV RAX,R13
005c1af6 POP RBX
005c1af7 POP R12
005c1af9 POP R13
005c1afb RET
005c1b00 CALL 0x00511480
005c1b05 LEA RDX,[0x80ed20]
005c1b0c MOV ESI,0xb7
005c1b11 XOR R13D,R13D
005c1b14 LEA RDI,[0x80ecbb]
005c1b1b CALL 0x005115a0
005c1b20 XOR EDX,EDX
005c1b22 MOV ESI,0x68
005c1b27 XOR EAX,EAX
005c1b29 MOV EDI,0x25
005c1b2e CALL 0x00511950
005c1b33 JMP 0x005c1a6f
005c1b40 CALL 0x00511480
005c1b45 LEA RDX,[0x80ed20]
005c1b4c MOV ESI,0xbc
005c1b51 LEA RDI,[0x80ecbb]
005c1b58 CALL 0x005115a0
005c1b5d CALL 0x006ff3f0
005c1b62 MOV RCX,R12
005c1b65 MOV ESI,0x6a
005c1b6a LEA RDX,[0x80ecde]
005c1b71 MOV R8,RAX
005c1b74 MOV EDI,0x25
005c1b79 XOR EAX,EAX
005c1b7b CALL 0x00511950
005c1b80 JMP 0x005c1a6f
